,Price,Transmission,Power,Engine CC,Fuel_2.0,Male,Female,Unknown,Total,Sale_2
344,21.65952381,5.761904762,90.85714286,1809.714286,1,1708,346,105,2159,1
345,226.3833333,6.5,368.6666667,4857,0,1882,155,90,2127,1
346,22.49,5,80,1261.25,0,572,1361,127,2060,1
347,20.659,5.633333333,73,1284.8,0,1558,421,62,2041,1
348,158.823,4.5,250,3228,0,1748,170,113,2031,1
349,35.34,5,118,1781,0,1754,196,80,2030,1
350,81.295,8,250,2998,0,1766,188,56,2010,1
351,20.1241875,4.875,79.875,1836.875,0,1449,418,102,1969,1
352,22.95383333,5,67.33333333,1908.166667,0,1358,505,100,1963,1
353,28.96891667,5,72.625,1707.125,0,1196,579,172,1947,1
354,173.506625,8,329,3307.25,0,1639,230,70,1939,1
355,23.8115,5,64,1298,0,543,1226,153,1922,1
356,13.382,2.5,48,1343,0,754,1039,112,1905,1
357,76.71,0,336,0,0,1527,288,80,1895,1
358,37.72247826,6,104.2173913,1684.304348,0,786,1006,96,1888,1
359,57.22905851,5.234042553,120.4255319,2309.340426,1,1398,324,131,1853,1
360,40.7645,4.333333333,133.3333333,2634.222222,0,1409,305,103,1817,1
361,88.46428571,0,230,3456,0,1264,376,166,1806,1
362,38.025,4.5,129.5,2614,0,1162,536,100,1798,1
363,57.97,7,225,1998,0,1492,217,73,1782,1
364,30.081,4,110,2254,0,1193,436,124,1753,1
365,37.04635294,6,91.44117647,1773.823529,1,1386,282,72,1740,1
366,37.773,5.555555556,114,2184,1,1109,533,74,1716,1
367,107.6705126,8.277310924,196.3361345,2521.092437,1,1532,121,52,1705,1
368,146.2746154,5.769230769,234.8461538,4089.923077,0,1476,121,85,1682,1
369,11.745,5,51,998,0,770,813,96,1679,1
370,33.43590909,5.636363636,108.3636364,1906.181818,1,1096,461,119,1676,1
371,37.31220238,5.678571429,102.7261905,2118.940476,1,1433,148,94,1675,1
372,18.84548718,4.076923077,87.07692308,2326.358974,0,1461,156,48,1665,1
373,17.325,5,55,1360,0,938,639,76,1653,1
374,85.05325,6.5,242,3696,0,1270,195,46,1511,1
375,175.835,7,433.5,4493.5,0,1264,95,53,1412,1
376,44.852,6.5,170,1998,0,843,482,61,1386,1
377,46.60136364,6,110,2393,1,1105,184,56,1345,1
378,69.397,5,173,3358.666667,0,1121,138,75,1334,1
379,88.46428571,0,230,3456,0,816,430,68,1314,1
380,22.127,5,83,1721.5,0,679,520,67,1266,1
381,245.168,6,338,4691,0,1141,77,46,1264,1
